SOURCE-EN,TARGET-JA,OVERALL,ACCURACY,OMISSION/ADDITION,COMPLIANCE,FLUENCY
Click the Settings button to configure your preferences.,設定ボタンをクリックして、お好みの設定を構成してください。,,,,,
"Your password must contain at least 8 characters including uppercase, lowercase, and numbers.",パスワードは大文字、小文字、数字を含む8文字以上である必要があります。,,,,,
The application will automatically save your work every 5 minutes.,アプリケーションは5分ごとに自動的に作業を保存します。,,,,,
"To delete a file, right-click on it and select 'Delete' from the context menu.",ファイルを削除するには、右クリックしてコンテキストメニューから「削除」を選択してください。,,,,,
Please restart the application to apply the changes.,変更を適用するには、アプリケーションを再起動してください。,,,,,
Your subscription will be renewed automatically unless you cancel it.,キャンセルしない限り、サブスクリプションは自動的に更新されます。,,,,,
The system detected an error. Please try again later.,システムでエラーが検出されました。後でもう一度お試しください。,,,,,
You can export your data in CSV or Excel format.,データはCSVまたはExcel形式でエクスポートできます。,,,,,
Two-factor authentication adds an extra layer of security to your account.,二要素認証はアカウントにセキュリティの追加レイヤーを提供します。,,,,,
The feature you requested is currently in development.,ご要望の機能は現在開発中です。,,,,,
